source,target,weight
0,98,0.11286417084783479
0,13,0.16949795881504323
0,56,0.4478408474971512
0,95,0.15511508498506904
1,80,0.25679804639651943
1,87,0.45644081669357534
2,53,0.20287418050756192
2,55,0.4033717834964094
2,41,0.26123792157769393
2,71,0.06591266749013044
2,85,0.34022594193831046
3,24,0.4285156576804378
4,80,0.09752279418634746
5,40,0.0711129516865423
5,10,0.3725515966252255
5,77,0.17637101724800247
5,26,0.3285861758499742
5,95,0.28720516391444784
6,69,0.19465543655129866
6,26,0.3813438682256756
6,75,0.06839569341649082
6,52,0.28336179495897207
7,42,0.2703116771918005
7,88,0.3300841783510923
7,86,0.3721406192659253
7,85,0.26090198157776046
7,9,0.19203788036259048
8,53,0.2882492561320301
9,51,0.12564710059897874
9,92,0.44281230833448576
9,39,0.2764651082946655
10,92,0.2682254200941935
10,53,0.2976045432319263
10,67,0.34878589643354807
10,85,0.37683577779166105
11,75,0.15695129676367905
11,83,0.38370871306533133
11,32,0.181763100335646
12,17,0.43237393123483564
12,46,0.20274779220570469
13,56,0.37830118247312194
13,57,0.36383955874621704
13,69,0.3792181199996762
14,76,0.30379279165004375
14,91,0.2110110104865439
15,18,0.397579179141539
15,17,0.3444602409439523
16,19,0.1803751975294674
16,95,0.24624361010715906
16,73,0.4560970090389253
16,75,0.37540050849028084
16,40,0.30336233211585967
17,46,0.3247624191440481
17,34,0.4001779164708794
17,19,0.2514193696138162
18,33,0.3487513047989261
18,76,0.3201460711466097
19,64,0.4575524941094381
19,91,0.405994710131347
19,58,0.1291479631605483
19,60,0.37190232728304046
19,52,0.10353952051887015
20,59,0.17387087717923647
20,48,0.12507596542122204
20,74,0.4127246977270825
21,95,0.2483727158792269
21,77,0.4049090607339239
22,67,0.41006713100707737
22,36,0.08015584617281507
22,25,0.36901546654059614
22,73,0.44066929612915373
23,71,0.44658454547698234
24,56,0.345280736712418
24,93,0.37504554688965375
24,50,0.3995150370476404
24,79,0.4599866350793418
24,55,0.3727966543854599
25,54,0.17045394669330802
25,51,0.13570900164547586
26,59,0.25970564790289746
26,94,0.41801357565940106
27,92,0.35506858518195616
28,47,0.4239526402081418
28,33,0.3596485029446954
29,87,0.41377682436979185
29,36,0.3346284721229042
29,80,0.13115879512221099
29,34,0.06197766781951728
29,92,0.2522671227285241
30,76,0.1725903708290084
30,98,0.14326370429903826
30,38,0.24930582032175094
30,94,0.37765297335387366
31,69,0.199143198593763
31,62,0.2996478438430996
31,60,0.11333238026169223
32,57,0.3058422022285787
32,91,0.4320673577874743
32,82,0.22276410271807076
32,81,0.051809377880703694
32,35,0.1998087262955422
33,63,0.33962929300510153
33,38,0.1473007345504618
34,55,0.2069446580119579
34,44,0.10882621494890363
35,59,0.29984593952546035
35,66,0.20085020128720724
35,94,0.42048957273807025
36,62,0.2557294817809508
37,95,0.4321875311595869
37,63,0.2695394922659269
37,48,0.16152034520133635
38,47,0.22348273294454069
39,86,0.2548163119082303
39,83,0.21545898765335092
40,99,0.3354357316861669
40,71,0.36722417932280416
40,64,0.3155876678680393
40,68,0.42600416246655376
41,71,0.3271502315058336
41,55,0.42003539475128177
41,45,0.38185330779299304
41,97,0.08448163786117084
41,50,0.16133521277693255
41,93,0.418773151471182
42,51,0.34145261554699036
42,52,0.4550301787646253
43,49,0.3258129590794604
44,80,0.19577732810463902
45,92,0.3375803736241468
45,79,0.2242157061265334
45,73,0.14547095176475533
45,90,0.2689018805140542
45,50,0.302361333529687
45,83,0.08106103488984827
45,60,0.16217099520593672
45,81,0.4477716772719403
46,94,0.35311667335681346
46,91,0.23311901108430289
46,52,0.31986120919097955
46,63,0.22760694042031965
48,68,0.36709120439662557
48,77,0.25435875354747806
50,73,0.3812939475142112
50,83,0.22172847235370893
50,93,0.29317577328470956
50,88,0.13859439749453834
51,75,0.35818362939385945
51,60,0.07243496957456379
52,74,0.3298171549466953
52,62,0.32451375459186865
52,57,0.3004559792306419
53,60,0.44912721170585823
53,71,0.24864934805932742
54,62,0.4037756221759194
54,70,0.2904558533027611
54,92,0.35032734788616743
55,80,0.31878557723383677
56,62,0.33381719620762335
57,82,0.09167764579255913
58,77,0.27621092976653916
59,93,0.41756118064065206
60,62,0.38381723293703374
61,63,0.44713363603509315
62,88,0.2538305192402579
62,85,0.4478109964559935
63,94,0.2311109919466817
63,77,0.07724836858557657
66,74,0.24507446000258104
66,90,0.21606544268473485
68,95,0.17331780292580773
69,78,0.44852651405371885
69,77,0.2503658394552735
69,73,0.23964888987225802
71,89,0.30908568262528885
71,86,0.4204906169506794
71,84,0.1224769259876639
71,93,0.29160646222843956
71,87,0.1701019251794389
72,87,0.2671004999911731
73,79,0.1721224640445217
73,93,0.09185003121799828
73,88,0.2877218064862926
74,79,0.22815150331669742
75,87,0.44309316936277254
75,99,0.2831868901794967
77,84,0.4486154609736131
78,96,0.24864860656392096
79,85,0.2097565188189455
80,87,0.41075320443322605
82,91,0.21458931710661922
83,84,0.210836710042576
83,87,0.35185021960288404
83,88,0.10374078791539658
83,92,0.2931353024552851
